dof_id,euring_id,species_euring_id,latin,common,type,iucn,iba_amnt,times_seen,breeding_status,last_confirmed_breeding,invasive,Atlas_III_squares_with_breeding,use_in_analysis
929,05140,05140,Calidris falcinellus,Broad-billed Sandpiper,species,LC,1100,2,NA,NA,NA,NA,0
932,05170,05170,Calidris pugnax,Ruff,species,LC,22000,137,Regular,2017,NA,14,1
933,05180,05180,Lymnocryptes minimus,Jack Snipe,species,LC,20000,19,NA,NA,NA,NA,0
934,05190,05190,Gallinago gallinago,Common Snipe,species,LC,100000,2334,Regular,2017,NA,525,1
951,05290,05290,Scolopax rusticola,Eurasian Woodcock,species,LC,240000,375,Regular,2017,NA,323,1
954,05320,05320,Limosa limosa,Black-tailed Godwit,species,NT,790,260,Regular,2017,NA,44,1
958,05340,05340,Limosa lapponica,Bar-tailed Godwit,species,NT,6500,57,NA,NA,NA,NA,0
962,05380,05380,Numenius phaeopus,Eurasian Whimbrel,species,LC,3500,26,NA,NA,NA,NA,0
969,05410,05410,Numenius arquata,Eurasian Curlew,species,NT,7600,1679,Regular,2017,NA,115,1
976,05450,05450,Tringa erythropus,Spotted Redshank,species,LC,1000,52,NA,NA,NA,0,0
978,05460,05460,Tringa totanus,Common Redshank,species,LC,4200,4475,Regular,2017,NA,558,1
983,05480,05480,Tringa nebularia,Common Greenshank,species,LC,3300,102,NA,NA,NA,0,0
988,05530,05530,Tringa ochropus,Green Sandpiper,species,LC,24000,277,Regular,2017,NA,31,1
990,05540,05540,Tringa glareola,Wood Sandpiper,species,LC,18000,41,Regular,2017,NA,19,1
992,05560,05560,Actitis hypoleucos,Common Sandpiper,species,LC,12000,325,Occasional,2015,NA,2,1
997,05610,05610,Arenaria interpres,Ruddy Turnstone,species,LC,730,13,Regular,2017,NA,5,1
1002,05640,05640,Phalaropus lobatus,Red-necked Phalarope,species,LC,20000,2,NA,NA,NA,NA,0
1004,05650,05650,Phalaropus fulicarius,Red Phalarope,species,LC,15700,1,NA,NA,NA,NA,0
1007,05660,05660,Stercorarius pomarinus,Pomarine Jaeger,species,LC,NA,1,NA,NA,NA,NA,0
1009,05670,05670,Stercorarius parasiticus,Parasitic Jaeger,species,LC,NA,20,NA,NA,NA,0,0
1013,05690,05690,Stercorarius skua,Great Skua,species,LC,NA,1,NA,NA,NA,NA,0
1023,05750,05750,Ichthyaetus melanocephalus,Mediterranean Gull,species,LC,2400,2,NA,NA,NA,23,1
1027,05780,05780,Hydrocoloeus minutus,Little Gull,species,LC,1000,35,Regular,2017,NA,1,1
